"code";"label";"value";"value_order"
"1073509";Mboro;MBORO;299
"1063198";Mboss;MBOSS;300
"1082298";Mboula;MBOULA;301
"1042368";Mboumba;MBOUMBA;302
"1071477";Mbour;MBOUR;303
"1073507";Meckhe;MECKHE;304
"1011005";Medina;MEDINA;305
"1133222";Medina Baffe;MEDINABAFFE;306
"1101240";Medina Cherif;MEDINACHERIF;307
"1101232";Medina El Hadji;MEDINAELHADJI;308
"1014023";Medina Gounass;MEDINAGOUNASS;309
"1102248";Medina Gounass;MEDINAGOUNASS;310
"1042372";Medina Ndiathbe;MEDINANDIATHBE;311
"1062184";Medina Sabakh;MEDINASABAKH;312
"1121141";Medinatoul Salam II;MEDINATOULSALAMII;313
"1103257";Medina Yoro Foulah;MEDINAYOROFOULAH;314
"1073510";Meouane;MEOUANE;315
"1054470";Mereto;MERETO;316
"1073514";Merina Dakhar;MERINADAKHAR;317
"1011012";Mermoz Sacre-Cœur;MERMOZSACRECŒUR;318
"1042374";Mery;MERY;319
"1052449";Missirah;MISSIRAH;320
"1033088";Missirah;MISSIRAH;321
"1133225";Missirah Sirimana;MISSIRAHSIRIMANA;322
"1123159";Missirah Wadene;MISSIRAHWADENE;323
"1022547";Mlomp;MLOMP;324
"1021536";Mlomp;MLOMP;325
"1073521";Mont Rolland;MONTROLLAND;326
"1051441";Moudery;MOUDERY;327
"1043383";Mpal;MPAL;328
"1111331";Nabadji Civol;NABADJICIVOL;329
"1054471";Ndame;NDAME;330
"1081280";Ndande;NDANDE;331
"1031062";Ndangalma;NDANGALMA;332
"1112343";Ndendory;NDENDORY;333
"1061173";Ndiaffate;NDIAFFATE;334
"1071485";Ndiaganiao;NDIAGANIAO;335
"1083307";Ndiagne;NDIAGNE;336
"1063200";Ndiago;NDIAGO;337
"1142403";Ndiamacouta;NDIAMACOUTA;338
"1142404";Ndiamalathiel;NDIAMALATHIEL;339
"1014022";Ndiareme Limamoulaye;NDIAREMELIMAMOULAYE;340
Ndiarmeo;Ndiarméo;NDIARMEO;341
"1042378";Ndiayene Pendao;NDIAYENEPENDAO;342
"1061179";Ndiebel;NDIEBEL;343
"1043386";Ndiebene Gandiole;NDIEBENEGANDIOLE;344
"1061174";Ndiedieng;NDIEDIENG;345
"1093131";Ndiene Lagane;NDIENELAGANE;346
"1072500";Ndieyene Sirakh;NDIEYENESIRAKH;347
"1032069";Ndindy;NDINDY;348
"1091909";Ndiob;NDIOB;349
"1124164";Ndiobene Samba Lama;NDIOBENESAMBALAMA;350
"1122148";Ndiognick;NDIOGNICK;351
NdiorokhNdoutane;Ndiorokh Ndoutane;NDIOROKHNDOUTANE;352
"1042361";Ndioum;NDIOUM;353
"1033083";Ndioumane T. Thiekene;NDIOUMANETTHIEKENE;354
"1124162";Ndioum Ngainth;NDIOUMNGAINTH;355
"1061170";Ndoffane;NDOFFANE;356
"1052446";Ndoga Babacar;NDOGABABACAR;357
"1041354";Ndombo Sandjiry;NDOMBOSANDJIRY;358
"1031063";Ndondol;NDONDOL;359
"1103261";Ndorna;NDORNA;360
"1032073";Ndoulo;NDOULO;361
"1081273";Ndoyene;NDOYENE;362
"1062193";Ndrame Escale;NDRAMEESCALE;363
"1102255";Nemataba;NEMATABA;364
"1052450";Netteboulou;NETTEBOULOU;365
"1121135";Nganda;NGANDA;366
"1073517";Ngandiouf;NGANDIOUF;367
"1071480";Ngaparou;NGAPAROU;368
"1063201";Ngathie Naoude;NGATHIENAOUDE;369
"1033089";Ngaye;NGAYE;370
"1062185";Ngayene;NGAYENE;371
"1091105";Ngayokheme;NGAYOKHEME;372
"1041358";Ngnith;NGNITH;373
"1031060";Ngogom;NGOGOM;374
"1032074";Ngohe;NGOHE;375
"1011014";Ngor;NGOR;376
"1072501";Ngoudiane;NGOUDIANE;377
"1081286";Ngourane Ouolof;NGOURANEOUOLOF;378
"1031064";Ngoye;NGOYE;379
"1071478";Nguekokh;NGUEKOKH;380
"1063204";Nguelou;NGUELOU;381
"1071486";Ngueniene;NGUENIENE;382
Nguerigne;Nguerigne;NGUERIGNE;383
NguerigneBabel;Nguerigne Babel;NGUERIGNEBABEL;384
"1083314";Nguer Malal;NGUERMALAL;385
"1083321";Ngueune Sarr;NGUEUNESARR;386
"1083318";Nguidile;NGUIDILE;387
"1111326";Nguidjilogne;NGUIDJILOGNE;388
"1143426";Niagha;NIAGHA;389
"1023552";Niaguis;NIAGUIS;390
"1091106";Niakhar;NIAKHAR;391
"1073518";Niakhene;NIAKHENE;392
"1103267";Niaming;NIAMING;393
"1021538";Niamone;NIAMONE;394
"1042363";Niandane;NIANDANE;395
"1052447";Niani Toucouleur;NIANITOUCOULEUR;396
"1092120";Niassene;NIASSENE;397
"1131212";Ninefecha;NINEFECHA;398
"1083319";Niomre;NIOMRE;399
"1092126";Nioro Alassane Tall;NIOROALASSANETALL;400
"1062181";Nioro Du Rip;NIORODURIP;401
"1072498";Notto;NOTTO;402
"1073522";Notto Gouye Diama;NOTTOGOUYEDIAMA;403
"1023554";Nyassia;NYASSIA;404
"1112339";Odobere;ODOBERE;405
"1111332";Ogo;OGO;406
"1111328";Orefonde;OREFONDE;407
"1112341";Orkadiere;ORKADIERE;408
"1093132";Ouadiour;OUADIOUR;409
"1011013";Ouakam;OUAKAM;410
"1082296";Ouarkhokh;OUARKHOKH;411
"1102250";Ouassadou;OUASSADOU;412
"1132220";Oubadji;OUBADJI;413
"1141394";Oudoucar;OUDOUCAR;414
"1022548";Oukout;OUKOUT;415
"1021529";Oulampane;OULAMPANE;416
"1021539";Ouonck;OUONCK;417
"1112344";Ouro Sidy;OUROSIDY;418
"1111324";Ourossogui;OUROSSOGUI;419
"1063205";Ourour;OUROUR;420
"1022544";Oussouye;OUSSOUYE;421
Oussouye;Oussouye;OUSSOUYE;422
"1102252";Pakour;PAKOUR;423
"1091103";Palmarin Facao;PALMARINFACAO;424
"1073524";Pambal;PAMBAL;425
"1063207";Panal Ouolof;PANALOUOLOF;426
"1062187";Paoskoto;PAOSKOTO;427
"1011018";Parcelles Assainies;PARCELLESASSAINIES;428
"1102251";Paroumba;PAROUMBA;429
"1054474";Pass Koto;PASSKOTO;430
"1092113";Passy;PASSY;431
"1103258";Pata;PATA;432
"1091107";Patar;PATAR;433
"1032075";Patar;PATAR;434
"1093133";Patar Lia;PATARLIA;435
"1011017";Patte d'Oie;PATTEDOIE;436
"1054475";Payar;PAYAR;437
"1073515";Pekesse;PEKESSE;438
"1042370";Pete;PETE;439
"1083309";Pete Ouarac;KPETEOUARACK;440
"1012037";Pikine Est;PIKINEEST;441
"1012038";Pikine Nord (Sud);PIKINENORDSUD;442
"1012036";Pikine Ouest;PIKINEOUEST;443
"1073523";Pire Goureye;PIREGOUREYE;444
"1011002";Plateau;PLATEAU;445
"1042360";Podor;PODOR;446
"1071481";Popenguine-ndayane;POPENGUINENDAYANE;447
"1062188";Porokhane;POROKHANE;448
"1072493";Pout;POUT;449
"1113345";Ranerou;RANEROU;450
"1031061";Refane;REFANE;451
"1123156";Ribot Escale;RIBOTESCALE;452
"1041350";Richard-Toll;RICHARDTOLL;453
"1041359";Ronkh;RONKH;454
"1041352";Ross Bethio;ROSSBETHIO;455
"1041351";Rosso Sénégal;ROSSOSENEGAL;456
Rufisque;Rufisque;RUFISQUE;457
"1013045";Rufisque Est;RUFISQUEEST;458
"1013046";Rufisque Nord-Centre;RUFISQUENORDCENTRE;459
"1013047";Rufisque Ouest;RUFISQUEOUEST;460
"1133226";Sabodala;SABODALA;461
"1051435";Sadatou;SADATOU;462
"1033092";Sadio;SADIO;463
"1082303";Sagatta Djolof;SAGATTADJOLOF;464
"1081284";Sagatta Gueth;SAGATTAGUETH;465
"1124166";Sagna;SAGNA;466
"1043382";Saint Louis;SAINTLOUIS;467
"1083322";Sakal;SAKAL;468
"1141391";Sakar;SAKAR;469
"1132215";Salemata;SALEMATA;470
"1101229";Salikegne;SALIKEGNE;471
"1123152";Saly Escale;SALYESCALE;472
"1141395";Sama Kanta Peulh;SAMAKANTAPEULH;473
"1143417";Samine Escale;SAMINEESCALE;474
"1014021";Sam Notaire;SAMNOTAIRE;475
"1081274";Sam Yabal;SAMYABAL;476
"1071487";Sandiara;SANDIARA;477
"1013049";Sangalkam;SANGALKAM;478
"1141397";Sansamba;SANSAMBA;479
"1022546";Santhiaba Manjacque;SANTHIABAMANJACQUE;480
"1133221";Saraya;SARAYA;481
"1101241";Sare Bidji;SAREBIDJI;482
"1102254";Sare Coly Salle;SARECOLYSALLE;483
"1101230";Sare Yoba Diega;SAREYOBADIEGA;484
"1013052";Sebikotane;SEBIKOTANE;485
"1141387";Sedhiou;SEDHIOU;486
"1122149";Segre Gatta;SEGREGATTA;487
"1112334";Semme;SEMME;488
"1013044";Sendou;SENDOU;489
"1071488";Sessene;SESSENE;490
"1061171";Sibassor;SIBASSOR;491
"1011010";Sicap Liberte;SICAPLIBERTE;492
"1143422";Simbadi Balante;SIMBADIBALANTE;493
"1143427";Simbandi Brassou;SIMBANDIBRASSOU;494
"1071491";Sindia;SINDIA;495
"1021530";Sindian;SINDIAN;496
"1102249";Sinthiang Koundara;SINTHIANGKOUNDARA;497
"1112338";Sinthiou Bamambe Banadji;SINTHIOUBAMAMBEBANADJI;498
"1053465";Sinthiou Bocar Ali;SINTHIOUBOCARALI;499
"1051438";Sinthiou Fissa;SINTHIOUFISSA;500
"1052444";Sinthiou Maleme;SINTHIOUMALEME;501
"1053459";Sinthiou Mamadou Boubou;SINTHIOUMAMADOUBOUBOU;502
"1092112";Sokone;SOKONE;503
"1071483";Somone;SOMONE;504
"1092115";Soum;SOUM;505
"1021531";Suelle;SUELLE;506
"1083315";Syer;SYER;507
"1032071";Taiba Moutoupha;TAIBAMOUTOUPHA;508
"1073511";Taiba Ndiaye;TAIBANDIAYE;509
"1062189";Taïba Niassene;TAIBANIASSENE;510
"1033086";Taiba Thiekene;TAIBATHIEKENE;511
"1033093";Taïf;TAIF;512
"1052442";Tambacounda;TAMBACOUNDA;513
"1143418";Tanaff;TANAFF;514
Tanguiss;Tanguiss;TANGUISS;515
"1101233";Tankanto Escale;TANKANTOESCALE;516
"1142406";Tankon;TANKON;517
"1072499";Tassette;TASSETTE;518
"1091110";Tattaguine;TATTAGUINE;519
TeneToubab;Téne Toubab;TENETOUBAB;520
"1021540";Tenghory;TENGHORY;521
"1082299";Tessekre Forage;TESSEKREFORAGE;522
Thiafoura;Thiafoura;THIAFOURA;523
"1031065";Thiakhar;THIAKHAR;524
"1083310";Thiamene Cayor;THIAMENECAYOR;525
"1082304";Thiamene Djolof - Thiamene Pass;THIAMENEDJOLOFTHIAMENEPASS;526
"1061176";Thiare;THIARE;527
"1091100";Thiare Ndialgui;THIARENDIALGUI;528
"1082292";Thiargny;THIARGNY;529
"1012031";Thiaroye gare;THIAROYEGARE;530
"1012033";Thiaroye sur mer;THIAROYESURMER;531
"1082293";Thiel;THIEL;532
"1072502";Thienaba;THIENABA;533
"1081281";Thieppe;THIEPPE;534
"1072496";Thies Est;THIESEST;535
"1072495";Thies Nord;THIESNORD;536
"1072497";Thies Ouest;THIESOUEST;537
"1101242";Thietty;THIETTY;538
"1073519";Thilmakha;THILMAKHA;539
"1111325";Thilogne;THILOGNE;540
"1081285";Thiolom Fall;THIOLOMFALL;541
Thiombolodji;Thiombolodji;THIOMBOLODJI;542
"1061180";Thiomby;THIOMBY;543
"1021526";Thionk Essyl;THIONKESSYL;544
"1073508";Tivaouane;TIVAOUANE;545
"1013050";Tivaouane Peulh Niagha;TIVAOUANEPEULHNIAGHA;546
"1032076";Tocky Gare;TOCKYGARE;547
"1131210";Tomboronkoto;TOMBORONKOTO;548
"1092127";Toubacouta;TOUBACOUTA;549
"1033090";Touba Fall;TOUBAFALL;550
"1032072";Touba Lappe;TOUBALAPPE;551
"1122150";Touba Mbella;TOUBAMBELLA;552
"1033084";Touba Mboul;TOUBAMBOUL;553
"1081275";Touba Merina;TOUBAMERINA;554
"1033091";Touba Mosquee;TOUBAMOSQUEE;555
"1072503";Touba Toul;TOUBATOUL;556
"1051436";Toumboura;TOUMBOURA;557
"1032077";Toure Mbonde;TOUREMBONDE;558
"1113347";Velingara;VELINGARA;559
"1102243";Velingara;VELINGARA;560
Thies;Ville de Thies;VILLEDETHIES;561
"1062194";Wack Ngouna;WACKNGOUNA;562
"1014024";Wakhinane Nimzatt;WAKHINANENIMZATT;563
"1042371";Walalde;WALALDE;564
"1112335";Waounde;WAOUNDE;565
"1082300";Yang Yang;YANGYANG;566
"1143423";Yarang Balante;YARANGBALANTE;567
"1013053";Yene;YENE;568
"1015025";Yeumbeul Nord;YEUMBEULNORD;569
"1015026";Yeumbeul Sud;YEUMBEULSUD;570
"1011015";Yoff;YOFF;571
"1023549";Ziguinchor;ZIGUINCHOR;572
